iteration,question
1,I ate benachin yesterday.
1,I slept under a mosquito net last night.
1,I used a telephone yesterday.
1,I used transportation other than walking yesterday.
1,I worked yesterday.
2,I ate benachin yesterday.
2,I slept under a mosquito net last night.
2,I used a telephone yesterday.
2,I worked yesterday.
2,I used transportation other than walking yesterday.
3,I ate benachin yesterday.
3,I slept under a mosquito net last night.
3,I used transportation other than walking yesterday.
3,I used a telephone yesterday.
3,I worked yesterday.
4,I ate benachin yesterday.
4,I slept under a mosquito net last night.
4,I used transportation other than walking yesterday.
4,I worked yesterday.
4,I used a telephone yesterday.
5,I ate benachin yesterday.
5,I slept under a mosquito net last night.
5,I worked yesterday.
5,I used a telephone yesterday.
5,I used transportation other than walking yesterday.
6,I ate benachin yesterday.
6,I slept under a mosquito net last night.
6,I worked yesterday.
6,I used transportation other than walking yesterday.
6,I used a telephone yesterday.
7,I ate benachin yesterday.
7,I used a telephone yesterday.
7,I slept under a mosquito net last night.
7,I used transportation other than walking yesterday.
7,I worked yesterday.
8,I ate benachin yesterday.
8,I used a telephone yesterday.
8,I slept under a mosquito net last night.
8,I worked yesterday.
8,I used transportation other than walking yesterday.
9,I ate benachin yesterday.
9,I used a telephone yesterday.
9,I used transportation other than walking yesterday.
9,I slept under a mosquito net last night.
9,I worked yesterday.
10,I ate benachin yesterday.
10,I used a telephone yesterday.
10,I used transportation other than walking yesterday.
10,I worked yesterday.
10,I slept under a mosquito net last night.
11,I ate benachin yesterday.
11,I used a telephone yesterday.
11,I worked yesterday.
11,I slept under a mosquito net last night.
11,I used transportation other than walking yesterday.
12,I ate benachin yesterday.
12,I used a telephone yesterday.
12,I worked yesterday.
12,I used transportation other than walking yesterday.
12,I slept under a mosquito net last night.
13,I ate benachin yesterday.
13,I used transportation other than walking yesterday.
13,I slept under a mosquito net last night.
13,I used a telephone yesterday.
13,I worked yesterday.
14,I ate benachin yesterday.
14,I used transportation other than walking yesterday.
14,I slept under a mosquito net last night.
14,I worked yesterday.
14,I used a telephone yesterday.
15,I ate benachin yesterday.
15,I used transportation other than walking yesterday.
15,I used a telephone yesterday.
15,I slept under a mosquito net last night.
15,I worked yesterday.
16,I ate benachin yesterday.
16,I used transportation other than walking yesterday.
16,I used a telephone yesterday.
16,I worked yesterday.
16,I slept under a mosquito net last night.
17,I ate benachin yesterday.
17,I used transportation other than walking yesterday.
17,I worked yesterday.
17,I slept under a mosquito net last night.
17,I used a telephone yesterday.
18,I ate benachin yesterday.
18,I used transportation other than walking yesterday.
18,I worked yesterday.
18,I used a telephone yesterday.
18,I slept under a mosquito net last night.
19,I ate benachin yesterday.
19,I worked yesterday.
19,I slept under a mosquito net last night.
19,I used a telephone yesterday.
19,I used transportation other than walking yesterday.
20,I ate benachin yesterday.
20,I worked yesterday.
20,I slept under a mosquito net last night.
20,I used transportation other than walking yesterday.
20,I used a telephone yesterday.
21,I ate benachin yesterday.
21,I worked yesterday.
21,I used a telephone yesterday.
21,I slept under a mosquito net last night.
21,I used transportation other than walking yesterday.
22,I ate benachin yesterday.
22,I worked yesterday.
22,I used a telephone yesterday.
22,I used transportation other than walking yesterday.
22,I slept under a mosquito net last night.
23,I ate benachin yesterday.
23,I worked yesterday.
23,I used transportation other than walking yesterday.
23,I slept under a mosquito net last night.
23,I used a telephone yesterday.
24,I ate benachin yesterday.
24,I worked yesterday.
24,I used transportation other than walking yesterday.
24,I used a telephone yesterday.
24,I slept under a mosquito net last night.
25,I slept under a mosquito net last night.
25,I ate benachin yesterday.
25,I used a telephone yesterday.
25,I used transportation other than walking yesterday.
25,I worked yesterday.
26,I slept under a mosquito net last night.
26,I ate benachin yesterday.
26,I used a telephone yesterday.
26,I worked yesterday.
26,I used transportation other than walking yesterday.
27,I slept under a mosquito net last night.
27,I ate benachin yesterday.
27,I used transportation other than walking yesterday.
27,I used a telephone yesterday.
27,I worked yesterday.
28,I slept under a mosquito net last night.
28,I ate benachin yesterday.
28,I used transportation other than walking yesterday.
28,I worked yesterday.
28,I used a telephone yesterday.
29,I slept under a mosquito net last night.
29,I ate benachin yesterday.
29,I worked yesterday.
29,I used a telephone yesterday.
29,I used transportation other than walking yesterday.
30,I slept under a mosquito net last night.
30,I ate benachin yesterday.
30,I worked yesterday.
30,I used transportation other than walking yesterday.
30,I used a telephone yesterday.
31,I slept under a mosquito net last night.
31,I used a telephone yesterday.
31,I ate benachin yesterday.
31,I used transportation other than walking yesterday.
31,I worked yesterday.
32,I slept under a mosquito net last night.
32,I used a telephone yesterday.
32,I ate benachin yesterday.
32,I worked yesterday.
32,I used transportation other than walking yesterday.
33,I slept under a mosquito net last night.
33,I used a telephone yesterday.
33,I used transportation other than walking yesterday.
33,I ate benachin yesterday.
33,I worked yesterday.
34,I slept under a mosquito net last night.
34,I used a telephone yesterday.
34,I used transportation other than walking yesterday.
34,I worked yesterday.
34,I ate benachin yesterday.
35,I slept under a mosquito net last night.
35,I used a telephone yesterday.
35,I worked yesterday.
35,I ate benachin yesterday.
35,I used transportation other than walking yesterday.
36,I slept under a mosquito net last night.
36,I used a telephone yesterday.
36,I worked yesterday.
36,I used transportation other than walking yesterday.
36,I ate benachin yesterday.
37,I slept under a mosquito net last night.
37,I used transportation other than walking yesterday.
37,I ate benachin yesterday.
37,I used a telephone yesterday.
37,I worked yesterday.
38,I slept under a mosquito net last night.
38,I used transportation other than walking yesterday.
38,I ate benachin yesterday.
38,I worked yesterday.
38,I used a telephone yesterday.
39,I slept under a mosquito net last night.
39,I used transportation other than walking yesterday.
39,I used a telephone yesterday.
39,I ate benachin yesterday.
39,I worked yesterday.
40,I slept under a mosquito net last night.
40,I used transportation other than walking yesterday.
40,I used a telephone yesterday.
40,I worked yesterday.
40,I ate benachin yesterday.
41,I slept under a mosquito net last night.
41,I used transportation other than walking yesterday.
41,I worked yesterday.
41,I ate benachin yesterday.
41,I used a telephone yesterday.
42,I slept under a mosquito net last night.
42,I used transportation other than walking yesterday.
42,I worked yesterday.
42,I used a telephone yesterday.
42,I ate benachin yesterday.
43,I slept under a mosquito net last night.
43,I worked yesterday.
43,I ate benachin yesterday.
43,I used a telephone yesterday.
43,I used transportation other than walking yesterday.
44,I slept under a mosquito net last night.
44,I worked yesterday.
44,I ate benachin yesterday.
44,I used transportation other than walking yesterday.
44,I used a telephone yesterday.
45,I slept under a mosquito net last night.
45,I worked yesterday.
45,I used a telephone yesterday.
45,I ate benachin yesterday.
45,I used transportation other than walking yesterday.
46,I slept under a mosquito net last night.
46,I worked yesterday.
46,I used a telephone yesterday.
46,I used transportation other than walking yesterday.
46,I ate benachin yesterday.
47,I slept under a mosquito net last night.
47,I worked yesterday.
47,I used transportation other than walking yesterday.
47,I ate benachin yesterday.
47,I used a telephone yesterday.
48,I slept under a mosquito net last night.
48,I worked yesterday.
48,I used transportation other than walking yesterday.
48,I used a telephone yesterday.
48,I ate benachin yesterday.
49,I used a telephone yesterday.
49,I ate benachin yesterday.
49,I slept under a mosquito net last night.
49,I used transportation other than walking yesterday.
49,I worked yesterday.
50,I used a telephone yesterday.
50,I ate benachin yesterday.
50,I slept under a mosquito net last night.
50,I worked yesterday.
50,I used transportation other than walking yesterday.
51,I used a telephone yesterday.
51,I ate benachin yesterday.
51,I used transportation other than walking yesterday.
51,I slept under a mosquito net last night.
51,I worked yesterday.
52,I used a telephone yesterday.
52,I ate benachin yesterday.
52,I used transportation other than walking yesterday.
52,I worked yesterday.
52,I slept under a mosquito net last night.
53,I used a telephone yesterday.
53,I ate benachin yesterday.
53,I worked yesterday.
53,I slept under a mosquito net last night.
53,I used transportation other than walking yesterday.
54,I used a telephone yesterday.
54,I ate benachin yesterday.
54,I worked yesterday.
54,I used transportation other than walking yesterday.
54,I slept under a mosquito net last night.
55,I used a telephone yesterday.
55,I slept under a mosquito net last night.
55,I ate benachin yesterday.
55,I used transportation other than walking yesterday.
55,I worked yesterday.
56,I used a telephone yesterday.
56,I slept under a mosquito net last night.
56,I ate benachin yesterday.
56,I worked yesterday.
56,I used transportation other than walking yesterday.
57,I used a telephone yesterday.
57,I slept under a mosquito net last night.
57,I used transportation other than walking yesterday.
57,I ate benachin yesterday.
57,I worked yesterday.
58,I used a telephone yesterday.
58,I slept under a mosquito net last night.
58,I used transportation other than walking yesterday.
58,I worked yesterday.
58,I ate benachin yesterday.
59,I used a telephone yesterday.
59,I slept under a mosquito net last night.
59,I worked yesterday.
59,I ate benachin yesterday.
59,I used transportation other than walking yesterday.
60,I used a telephone yesterday.
60,I slept under a mosquito net last night.
60,I worked yesterday.
60,I used transportation other than walking yesterday.
60,I ate benachin yesterday.
61,I used a telephone yesterday.
61,I used transportation other than walking yesterday.
61,I ate benachin yesterday.
61,I slept under a mosquito net last night.
61,I worked yesterday.
62,I used a telephone yesterday.
62,I used transportation other than walking yesterday.
62,I ate benachin yesterday.
62,I worked yesterday.
62,I slept under a mosquito net last night.
63,I used a telephone yesterday.
63,I used transportation other than walking yesterday.
63,I slept under a mosquito net last night.
63,I ate benachin yesterday.
63,I worked yesterday.
64,I used a telephone yesterday.
64,I used transportation other than walking yesterday.
64,I slept under a mosquito net last night.
64,I worked yesterday.
64,I ate benachin yesterday.
65,I used a telephone yesterday.
65,I used transportation other than walking yesterday.
65,I worked yesterday.
65,I ate benachin yesterday.
65,I slept under a mosquito net last night.
66,I used a telephone yesterday.
66,I used transportation other than walking yesterday.
66,I worked yesterday.
66,I slept under a mosquito net last night.
66,I ate benachin yesterday.
67,I used a telephone yesterday.
67,I worked yesterday.
67,I ate benachin yesterday.
67,I slept under a mosquito net last night.
67,I used transportation other than walking yesterday.
68,I used a telephone yesterday.
68,I worked yesterday.
68,I ate benachin yesterday.
68,I used transportation other than walking yesterday.
68,I slept under a mosquito net last night.
69,I used a telephone yesterday.
69,I worked yesterday.
69,I slept under a mosquito net last night.
69,I ate benachin yesterday.
69,I used transportation other than walking yesterday.
70,I used a telephone yesterday.
70,I worked yesterday.
70,I slept under a mosquito net last night.
70,I used transportation other than walking yesterday.
70,I ate benachin yesterday.
71,I used a telephone yesterday.
71,I worked yesterday.
