iteration,question
1,I ate benachin yesterday.
1,I used a telephone yesterday.
1,I used transportation other than walking yesterday.
1,I worked yesterday.
2,I ate benachin yesterday.
2,I used a telephone yesterday.
2,I worked yesterday.
2,I used transportation other than walking yesterday.
3,I ate benachin yesterday.
3,I used transportation other than walking yesterday.
3,I used a telephone yesterday.
3,I worked yesterday.
4,I ate benachin yesterday.
4,I used transportation other than walking yesterday.
4,I worked yesterday.
4,I used a telephone yesterday.
5,I ate benachin yesterday.
5,I worked yesterday.
5,I used a telephone yesterday.
5,I used transportation other than walking yesterday.
6,I ate benachin yesterday.
6,I worked yesterday.
6,I used transportation other than walking yesterday.
6,I used a telephone yesterday.
7,I used a telephone yesterday.
7,I ate benachin yesterday.
7,I used transportation other than walking yesterday.
7,I worked yesterday.
8,I used a telephone yesterday.
8,I ate benachin yesterday.
8,I worked yesterday.
8,I used transportation other than walking yesterday.
9,I used a telephone yesterday.
9,I used transportation other than walking yesterday.
9,I ate benachin yesterday.
9,I worked yesterday.
10,I used a telephone yesterday.
10,I used transportation other than walking yesterday.
10,I worked yesterday.
10,I ate benachin yesterday.
11,I used a telephone yesterday.
11,I worked yesterday.
11,I ate benachin yesterday.
11,I used transportation other than walking yesterday.
12,I used a telephone yesterday.
12,I worked yesterday.
12,I used transportation other than walking yesterday.
12,I ate benachin yesterday.
13,I used transportation other than walking yesterday.
13,I ate benachin yesterday.
13,I used a telephone yesterday.
13,I worked yesterday.
14,I used transportation other than walking yesterday.
14,I ate benachin yesterday.
14,I worked yesterday.
14,I used a telephone yesterday.
15,I used transportation other than walking yesterday.
15,I used a telephone yesterday.
15,I ate benachin yesterday.
15,I worked yesterday.
16,I used transportation other than walking yesterday.
16,I used a telephone yesterday.
16,I worked yesterday.
16,I ate benachin yesterday.
17,I used transportation other than walking yesterday.
17,I worked yesterday.
17,I ate benachin yesterday.
17,I used a telephone yesterday.
18,I used transportation other than walking yesterday.
18,I worked yesterday.
18,I used a telephone yesterday.
18,I ate benachin yesterday.
19,I worked yesterday.
19,I ate benachin yesterday.
19,I used a telephone yesterday.
19,I used transportation other than walking yesterday.
20,I worked yesterday.
20,I ate benachin yesterday.
20,I used transportation other than walking yesterday.
20,I used a telephone yesterday.
21,I worked yesterday.
21,I used a telephone yesterday.
21,I ate benachin yesterday.
21,I used transportation other than walking yesterday.
22,I worked yesterday.
22,I used a telephone yesterday.
22,I used transportation other than walking yesterday.
22,I ate benachin yesterday.
23,I worked yesterday.
23,I used transportation other than walking yesterday.
23,I ate benachin yesterday.
23,I used a telephone yesterday.
24,I worked yesterday.
24,I used transportation other than walking yesterday.
24,I used a telephone yesterday.
24,I ate benachin yesterday.
